OSM_ID,NAME
179045575,«Скандинавия»
155366091,0-я линия
31364918,10-11-я линии В.О.
126562724,10-я аллея
24982373,10-я дорога
206259111,10-я дорожка
31369034,10-я Красноармейская улица
155322116,10-я линия
178602406,10-я линия В.О.
172815550,10-я Советская улица
242395693,11-й Каменноостровский мост
170000580,11-я аллея
206259113,11-я дорожка
221418034,11-я Красноармейская улица
119311692,11-я линия
178602407,11-я линия В.О.
240799870,12-13-я линии В.О.
173484609,12-я аллея
206259114,12-я дорожка
31368568,12-я Красноармейская улица
119311722,12-я линия
173484610,13-я аллея
206259115,13-я дорожка
4457206,13-я Красноармейская улица
119311715,13-я линия
173075242,14-15-я линии В.О.
242395694,14-й Каменноостровский мост
94243915,14-я аллея
123153611,14-я дорожка
119311698,14-я линия
31389152,14-я линия В.О.
130310997,15-я аллея
123153961,15-я дорожка
119311682,15-я линия
31400754,15-я линия В.О.
33785172,16-17-я линии В.О.
173484611,16-я аллея
123153964,16-я дорожка
119311707,16-я линия
31389434,16-я линия В.О.
38480075,17-й проезд
130310999,17-я аллея
123153390,17-я дорожка
119311702,17-я линия
31386812,17-я линия В.О.
172606941,18-19-я линии В.О.
38480109,18-й проезд
123153683,18-я дорожка
119311667,18-я линия
242398358,19-й Каменноостровский мост
38480179,19-й проезд
172792441,19-я аллея
206259130,19-я дорожка
119311680,19-я линия
170316997,1-й Бадаевский проезд
122425388,1-й Березовский переулок
31402452,1-й Верхний переулок
126134141,1-й Дачный переулок
36361150,1-й Елагин мост
28532466,1-й Загородный переулок
243333160,1-й Зимний мост
172311192,1-й Инженерный мост
23273504,1-й Купальный переулок
174899898,1-й Курортный переулок
28777052,1-й Лаврский мост
145439679,1-й Лахтинский мост
63204042,1-й Лесной переулок
106291465,1-й Межевой переулок
112188745,1-й мост
4457291,1-й Муринский проспект
105053150,1-й Озерковский переулок
174878843,1-й Охтинский путепровод
33410099,1-й переулок
156286490,1-й Петергофский мост
232713868,1-й Предпортовый проезд
179646863,1-й проезд
103990397,1-й проезд Кондакопшино
104475537,1-й проезд Свободы
106291472,1-й Путейский переулок
132916332,1-й Рабфаковский переулок
143681960,1-й Садовый мост
106291463,1-й Торфяной переулок
106291448,1-й Широкий переулок
36771653,1-я Алексеевская улица
126441524,1-я аллея
159233353,1-я Берёзовая аллея
225063344,1-я Боровая улица
31379183,1-я Дачная улица
59291558,1-я дорога
155322114,1-я дорожка
134585108,1-я Железнодорожная улица
35552052,1-я Жерновская улица
62001751,1-я Заводская улица
53812510,1-я Зелёная улица
36945763,1-я Конная Лахта
141966303,1-я Красноармейская улица
172359215,1-я Краснофлотская улица
28532461,1-я Лесная улица
179646864,1-я линия
10440558,1-я линия В.О.
23919656,1-я Луговая улица
71065318,1-я Нижняя улица
31399507,1-я Никитинская улица
147948621,1-я Новая
24761802,1-я Новая улица
284770291,1-я Пляжевая улица
32742527,1-я Полевая улица
113379071,1-я Полянская улица
108686440,1-я Поперечная
34352284,1-я Поперечная улица
126589272,1-я Северная улица
245946015,1-я Советская улица
52016485,1-я Тенистая улица
108686441,1-я Угловая
38479304,1-я улица
125240532,1-я Утиная улица
123123567,1-я Шоссейная улица
116521021,20-21-я линии В.О.
242398359,20-й Каменноостровский мост
173484617,20-я аллея
206259139,20-я дорожка
119311711,20-я линия
178602842,20-я линия В.О.
38482887,21-й проезд
170000581,21-я аллея
206259143,21-я дорожка
119311700,21-я линия
178602844,21-я линия В.О.
135902394,22-23-я линии В.О.
206259150,22-я дорожка
119311719,22-я линия
178603037,22-я линия В.О.
38483006,23-й проезд
206259154,23-я дорожка
216865120,2-3-я линии В.О.
119311704,23-я линия
178603038,23-я линия В.О.
173076788,24-25-я линии В.О.
206259163,24-я дорожка
116632877,24-я линия
31396137,24-я линия В.О.
206259166,25-я дорожка
116632883,25-я линия
189640271,25-я линия В.О.
116520570,26-27-я линии В.О.
84484774,26-я дорожка
116632882,26-я линия
179105959,26-я линия В.О.
93773809,27-я линия
179105960,27-я линия В.О.
116521521,28-29-я линии В.О.
137816736,28-я линия
149524631,2-й Бадаевский проезд
127169473,2-й Балтийский переулок
121949198,2-й Березовский переулок
4455477,2-й Верхний переулок
44924369,2-й Волковский мост
126372494,2-й Дачный переулок
4461337,2-й Елагин мост
106291459,2-й Загородный переулок
172299707,2-й Зимний мост
242393472,2-й Каменноостровский мост
173811652,2-й Красненький мост
23273506,2-й Купальный переулок
174899897,2-й Курортный переулок
30976099,2-й Лаврский мост
145439684,2-й Лахтинский мост
54650480,2-й Лесной переулок
106291470,2-й Межевой переулок
120109994,2-й мост
135206645,2-й Муринский проспект
36435106,2-й Озерковский переулок
174878847,2-й Охтинский путепровод
85039118,2-й Парковый мост
34993483,2-й переулок
172586939,2-й Петергофский мост
219639907,2-й Предпортовый проезд
179646865,2-й проезд
103990404,2-й проезд Кондакопшино
106291481,2-й Путейский переулок
173534236,2-й Рабфаковский переулок
145804299,2-й Садовый мост
106291483,2-й Широкий переулок
138674099,2-я Алексеевская улица
126441548,2-я аллея
20940855,2-я Берёзовая аллея
108686447,2-я Боковая
87246332,2-я Боровая улица
38505958,2-я Волховстроевская улица
81026716,2-я Дачная улица
59291519,2-я дорога
155322118,2-я дорожка
126135995,2-я Железнодорожная улица
4458842,2-я Жерновская улица
123123568,2-я Заводская улица
53812511,2-я Зелёная улица
238515011,2-я Комсомольская улица
135414976,2-я Конная Лахта
137007079,2-я Красноармейская улица
105466949,2-я Краснофлотская улица
63204081,2-я Лесная улица
179646866,2-я линия
121806444,2-я Луговая улица
126441528,2-я Малая улица
138674160,2-я Никитинская улица
147948670,2-я Новая
49858105,2-я Новая улица
106291477,2-я Пляжевая улица
100967252,2-я Полевая улица
128073386,2-я Полянская улица
202801946,2-я Поперечная
31380234,2-я Поперечная улица
36436177,2-я Семёновская улица
185184934,2-я Советская улица
86885441,2-я Тарховская улица
52016489,2-я Тенистая улица
147948644,2-я Угловая
38479210,2-я улица
60413629,2-я Утиная улица
62001755,2-я Шоссейная улица
237356156,3-й Бадаевский проезд
126337272,3-й Верхний переулок
44924366,3-й Волковский мост
