OSM_ID,NAME
-1115366,Курортный район
-1115082,Кронштадтский район
-367375,Петродворцовый район
-1115367,Приморский район
-363103,Красносельский район
-1114354,Выборгский район
-1114809,Кировский район
-1114252,Василеостровский район
-1114905,Петроградский район
-338636,Московский район
-338635,Пушкинский район
-1114193,Адмиралтейский район
-1114902,Центральный район
-369514,Фрунзенский район
-1114806,Калининский район
-368287,Невский район
-1114895,Красногвардейский район
-337424,Колпинский район
